DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
0564;005640;FUJICOLOR NPC 160 PROFESSIONAL #NPC160;;Fuji Photo Film Co., Ltd;;Made in Japan;2000;~2005;;0;FujiNPC160pro.jpg
0577;005770;FUJICOLOR NPH 400 Professional #NPH400;Name changed to PRO 400H;Fuji Photo Film Co., Ltd;;Made in Japan;2002;~2006;;0;FujiNPH400.jpg
0584;005840;FUJICOLOR NPH 400 Professional #NPH400;Name changed to 400H;Fuji Photo Film Co., Ltd;;Made in Japan;1996;2002 ?;;0;
0198;001984;Fujicolor NPS 160 Professional #NPS160;Reala technology, similar to NPS;Fuji Photo Film Co., Ltd;;Made in Japan;1994;~2004;;0;FujiNPS.jpg
0576;005760;FUJICOLOR NPZ 800 Professional #NPZ800;Remplacement for NHGII 800. Then name changed to 800Z;Fuji Photo Film Co., Ltd;;Made in Japan;2001;~2006;;0;FujicolorNPZ800.jpg
0634;006344;Fujicolor Press 1600 #press1600 Superia Natura;Same film as Superia/Natura 1600, but refrigerated since the time of manufacture;Fuji;;Made in Japan;2001;~2010 ?;;0;FujiPress1600.jpg
0560;105604;Fujicolor Press 1600 #press1600 Superia Natura;Same film as Superia/Natura 1600, but refrigerated since the time of manufacture;Fuji;;Made in Japan;2001;~2010 ?;;0;FujiPress1600.jpg
0200;102004;Fujicolor Press 400 #press400 Superia;Superia / X-tra 400 refrigerated since the time of manufacture;Fuji;;Made in Japan;1999 ?;~2010 ?;;0;FujiPress400.jpg
0581;005814;Fujicolor Press 800 Super G #press800 superG;Super G+ refrigerated since the time of manufacture;Fuji;;Made in Japan;1999 ?;~2010 ?;;0;FujiPress800.jpg
0561;105614;Fujicolor Press 800 Superia #press800;Superia refrigerated since the time of manufacture;Fuji;;Made in Japan;1999 ?;~2010 ?;;0;FujiPress800.jpg
0161;001610;FUJICOLOR PRO 160C #PRO160C;High contrast, natural tones;;;Made in Japan;~2005;2010;;0;FujiPro160C.jpg
0206;002060;FUJICOLOR PRO 160NC #PRO160NC;"""NC is dedicated for fashion and commercial photo uses"". Only japan market ?";;;Made in Japan;2004;;;0;FujiPro160NC.jpg
0160;001600;FUJICOLOR PRO 160NS #Pro160NS;"pro 160S for Japan market. Discontinued on all country except Japan ? ""NS is designed for studio portrait application""";;;Made in Japan;2010;2015 (except Japan?);;2;FujiPro160NS.jpg
0160;001600;FUJICOLOR PRO 160S #pro160s;Soft contrast, deep tones. Renamed Pro 160NS;;;Made in Japan;~2005;2010 ?;;0;FujiPro160S.jpg
0571;005710;FUJICOLOR PRO 400 #pro400;;;;Made in Japan;1999;2002;;0;
0587;005870;FUJICOLOR PRO 400 New PN400N #Pro400n;;;;Made in Japan;2002;2014 ?;;0;FujicolorNewPro400.jpg
0587;105874;FUJICOLOR PRO 400 New PN400N #Pro400n;;;;Made in Japan;2002;2014 ?;;0;FujicolorNewPro400.jpg
0584;105844;Fujicolor Pro 400H #PRO400H NPZ400;Fujicolor NPH 400;;3;Made in Japan;~2003 ?;2021;;0;FujiPro400H.jpg
0561;005613;FujiColor Pro 800Z;Fujicolor NPZ 800;;3;Made in Japan;~2003 ?;~2009;;0;FujicolorPro800Z.jpg
0636;006363;Fujicolor QuickSnap 1000 ;Superia 1000 for disposable camera;;;Made in Japan;2004 ?;;;0;
0193;301933;Fujicolor QuickSnap 400 no DX coding, core splined, black;;;;Made in Japan;;;;0;FujiQuickSnap400noDX.jpg
0172;001742;FUJICOLOR REALA 100 Gen 1;First film to reproduce colors as they are seen by the human eye;;;Made in Japan;1989;mid 90's ?;;0;FujicolorReala.jpg
0174;001744;FUJICOLOR REALA 100 Gen 2;First film to reproduce colors as they are seen by the human eye;;;Made in Japan;mid 90's ?;~2005 ?;;0;FujicolorReala.jpg
0166;001660;FUJICOLOR REALA 100 Japan;First film to reproduce colors as they are seen by the human eye;;;Made in Japan;1989;~2005 ?;;0;FujicolorReala.jpg
0136;001360;FUJICOLOR REALA ACE 100;;;;Made in Japan;2010;;;0;FujiRealaAce.jpg
0590;005900;FUJICOLOR REALA ACE 100 Japan;For Japan;;;Made in Japan;2010;;;0;FujiRealaAce.jpg
0582;005820;Fujicolor Reala New;;;;Made in Japan;;;;0;FujiSuperiaReala100.jpg
0200;602004;"Fujicolor S400 ""industrial ?"" S-400";;Fuji;;Made in Japan;;;;0;
0573;005730;FUJICOLOR SUPER 100 SP100;;;;Made in Japan;;;;0;FujicolorSuper100.jpg
0574;005740;FUJICOLOR SUPER 100 SP100;;;;Made in Japan;;;;0;FujicolorSuper100.jpg
0570;005700;FUJICOLOR SUPER 400 Japan SP400;For Japan market ;;;Made in Japan;1998;;;0;FujicolorSuper400.jpg
0570;405704;FUJICOLOR SUPER 400 Japan SP400;For Japan market;;;Made in Japan;1998;;;0;FujicolorSuper400japan.jpg
0570;;FUJICOLOR SUPER 400FT Fine & Tough;For Japan market ? Name for Super 400 in five pack ??;;;Made in Japan;~1998 ?;;;0;FujicolorSuper400FT.jpg
0204;002040;Fujicolor Super G 100 Japan SG100 #superG100;Only japanese market;;;Made in Japan;1993;;;0;FujicolorSuprG100.jpg
0588;005880;Fujicolor Super G 100 Japan SG100 #superG100;Only japanese market;;;Made in Japan;1992;;;0;
0196;001960;Fujicolor Super G 100 SG100 CN-4 (gen 1) #SuperG200;;;;Made in Japan;1992;;;0;
0195;001953;Fujicolor Super G 200 SG200 #SuperG200;;;;Made in Japan;1993;;;0;FujicolorSuperG200.jpg
0137;001370;Fujicolor Super G 200 Superia SG200 #SuperG200;;;;Made in Japan;1993;;;0;FujicolorSuperG200.jpg
0194;001940;Fujicolor Super G 400 Gen 1 SG400 #SuperG400;;;;Made in Japan;1993;;;0;FujicolorSuperG400.jpg
0202;002023;Fujicolor Super G 400 Gen 2 Japan SG400 #SuperG400;;;;Made in Japan;1993;;;0;FujicolorSuperG400.jpg
0201;002010;Fujicolor Super G 800 SG800 #SuperG800;;;;Made in Japan;1993;;;0;
0589;005890;Fujicolor Super G Ace 100 Japan #SGace100;For Japan market;;;Made in Japan;;;;0;
0586;005860;FUJICOLOR SUPER G ACE 400 CH-4 Japan #superGace SG400;For Japan market;;;Made in Japan;1986 ??;;;0;FujiSuperGace400.jpg
0585;005850;FUJICOLOR SUPER G ACE 800 Japan #superGace SG800;For Japan market;;;Made in Japan;1986 ??;;;0;
0580;005803;FUJICOLOR SUPER G PLUS 100 #superGplus SG+ SG100+ SG100plus;;;;Made in Japan;1995;;;0;FujiSuperGplus100.jpg
0579;005793;FUJICOLOR SUPER G PLUS 200 #superGplus SG+ SG200+ SG200plus;;;;Made in Japan;1995;;;0;FujiSuperGplus200.jpg
0578;005780;FUJICOLOR SUPER G PLUS 400 #superGplus SG+ SG400+ SG400plus;;;;Made in Japan;1995;;;0;FujiSuperGplus400.jpg
0581;005814;FUJICOLOR SUPER G PLUS 800 #superGplus SG+ SG800+ SG800plus;;;;Made in Japan;1995;;;0;FujicolorSuperGplus800.jpg
0165;001650;Fujicolor Super HG100 Gen 1 #SuperHG SHG;;Fujifilm;;Made in Japan / Made in Holland;1990;;;0;FujicolorSuperHG100.jpg
0173;001733;Fujicolor Super HG100 Gen 2 #SuperHG SHG;;Fujifilm;;Made in Japan / Made in Holland;1990;;;0;FujicolorSuperHG100.jpg
0168;001684;Fujicolor Super HG1600 #SuperHG SHG;;Fujifilm;;Made in Japan;1990;;;0;FujiSuperHG1600.jpg
0171;001710;Fujicolor Super HG200 #SuperHG SHG;;Fujifilm;;Made in Japan ;1989;;;0;FujicolorSuperHG200.jpg
0170;001704;Fujicolor Super HG400 #SuperHG SHG;;Fujifilm;;Made in Japan ;1989;;;0;FujiSuperHG400.jpg
0175;001753;Fujicolor Super HGII100 #SuperHG SHGII100;;Fujifilm;;Made in Japan;~1993 ??;;;0;FujiSuperHGII100.jpg
0199;001990;Fujicolor Super HGII100 #SuperHG SHGII100;;Fujifilm;;Made in Japan;~1993 ??;;;0;FujiSuperHGII100.jpg
0167;001670;Fujicolor Super HGII100 US version #SuperHG SHGII100;;Fujifilm;;Made in Japan;~1993 ??;;;0;FujiSuperHGII100.jpg
0163;001630;Fujicolor Super HGII200 #SuperHG SHGII200;;Fujifilm;;Made in Japan;~1993 ??;;;0;FujicolorSuperHGII200.jpg
0203;002030;Fujicolor Super HGII200 #SuperHG SHGII200;;Fujifilm;;Made in Japan;~1993 ??;;;0;FujicolorSuperHGII200.jpg
0162;001620;Fujicolor Super HGII400 #SuperHG SHGII400;;Fujifilm;;Made in Japan;~1993 ??;;;0;
0205;002053;Fujicolor Super HGV100 Asia #SuperHG SHGV;For asian market;Fujifilm;;Made in Japan ;~1992 ?;;;0;FujicolorSuperHGV100.jpg
0203;002034;Fujicolor Super HGV200 Asia #SuperHG SHGV;For asian market;Fujifilm;;Made in Japan ;~1992 ?;;;0;FujicolorSuperHGV200.jpg
0207;002074;Fujicolor Super HGV400 Asia #SuperHG SHGV;For asian market;Fujifilm;;Made in Japan ;~1992 ?;;;0;FujiSuperHGV400.jpg
0133;001333;Fujicolor Super HQ100 SHQII #SuperHQ100;;;;Made in Japan;;;;0;FujiSuperHQ100.jpg
0135;001351;Fujicolor Super HQ100 SHQII #SuperHQ100;;;;Made in Japan;;;;0;FujiSuperHQ100.jpg
0129;001293;Fujicolor Super HQ200 (Pink) SHQII #SuperHQ200;;;;Made in Japan;;;;0;
0141;001413;Fujicolor Super HQ200 SHQII #SuperHQ200;;;;Made in Japan;;;;0;FujiSuperHQ200.jpg
0171;001713;Fujicolor Super HQ200 SHQII #SuperHQ200;;;;Made in Japan;;;;0;FujiSuperHQ200.jpg
0141;601413;Fujicolor Super HQ200 Wal-mart branded film SHQII #walmart SuperHQ100 ;;;;Made in Japan;;;;0;
0203;002033;Fujicolor Super HQII 200 #SHQII SuperHQ2;;;;Made in Japan;;;;0;
0132;001323;"Fujicolor Super HR100 ""Expo 88"" #SuperHR SHR";Official Film of World Expo 88;;;Made in Japan;~1987;1988;;0;SuperHRexpo88.jpg
0172;001720;"Fujicolor Super HR100 ""World Cup 1998"" #SuperHR SHR";The Official Film of World Cup France 1998;;;Made in Japan;~1997;1998;;0;FujiSuperHR100WorldCup.jpg
0132;001323;Fujicolor Super HR100 Gen 1 #SuperHR SHR;;;;Made in Japan;1984;~1986 ?;;0;FujiSuperHR100.jpg
0164;001643;Fujicolor Super HR100 Gen 2 #SuperHR SHR;;;;Made in Japan;~1986 ?;90’s ?;;0;FujiSuperHR100.jpg
0172;001720;Fujicolor Super HR100 Gen 3 #SuperHR SHR;;;;Made in Japan;90’s ?;;;0;FujiSuperHR100.jpg
0168;001680;Fujicolor Super HR1600 (Gen 1?) #SuperHR SHR;;;;Made in Japan;1986;;;0;FujiSuperHR1600.jpg
0128;001280;Fujicolor Super HR1600 (Gen 2?) #SuperHR SHR;;;;Made in Japan;1986;;;0;FujiSuperHR1600.jpg
0131;001310;Fujicolor Super HR200 Gen 1 #SuperHR SHR;;;;Made in Japan;1984;90’s ?;;0;FujicolorSuperHR200.jpg
0163;001630;Fujicolor Super HR200 Gen 2 #SuperHR SHR;;;;Made in Japan;90’s ?;;;0;FujicolorSuperHR200.jpg
0130;001300;Fujicolor Super HR400 Gen 1 #SuperHR SHR;;;;Made in Japan;1984;90’s ?;;0;FujiSuperHR400.jpg
0162;001620;Fujicolor Super HR400 Gen 2 #SuperHR SHR;;;;Made in Japan;90’s ?;;;0;FujiSuperHR400.jpg
0132;001324;Fujicolor Super HRII 100 #SHRII100 SHR100II SuperHR2;;;;Made in Japan;1989;;;0;FujiSuperHRII100.jpg
0164;001643;Fujicolor Super HRII 100 #SHRII100 SHR100II SuperHR2;;;;Made in Japan;1989;;;0;FujiSuperHRII100.jpg
0128;001280;Fujicolor Super HRII 1600 #SHRII1600 SHR1600II SuperHR2;;;;Made in Japan;1989;;;0;FujicolorSuperHRII1600.jpg
0163;001630;Fujicolor Super HRII 200 #SHRII200 SHR200II SuperHR2;;;;Made in Japan;1989;;;0;
0162;001620;Fujicolor Super HRII 400 #SHRII400 SHR400II SuperHR2;;;;Made in Japan;1991 ?;;;0;
0143;001430;FUJICOLOR SUPER V100 #SV100 SuperV100;;;;Made in Japan;;;;1;
0591;005910;FUJICOLOR SUPER V100 CN-8 #SV100 SuperV100;;;;Made in Japan;;;;1;
0128;001280;FUJICOLOR SUPERIA 100;;;;Made in Germany (?);;;;0;FujicolorSuperia100.jpg
0133;001330;FUJICOLOR SUPERIA 100;;;;Made in Japan;1999;;;1;FujicolorSuperia100.jpg
0140;001400;FUJICOLOR SUPERIA 100;;;;Made in Japan;1999;;;1;FujicolorSuperia100.jpg
0142;001424;FUJICOLOR SUPERIA 100;Asia (Korean?) export version ?;;;Made in Japan ?;1999;;;0;FujicolorSuperia100.jpg
0204;002040;FUJICOLOR SUPERIA 100;;;;Made in Japan;1999;;;1;FujicolorSuperia100.jpg
0572;005720;FUJICOLOR SUPERIA 100;;;;Made in Japan;1999;;;1;FujicolorSuperia100.jpg
0565;005650;FUJICOLOR SUPERIA 100 New;;;;Made in Japan;1999;;;1;FujicolorSuperia100.jpg
0566;005660;FUJICOLOR SUPERIA 100 New;;;;Made in Japan;1999;;;1;FujicolorSuperia100.jpg
0636;006360;FUJICOLOR SUPERIA 1000;;;;Made in Japan;;;;0;
0560;005600;FUJICOLOR SUPERIA 1600;;;;Made in Japan;2000;;;0;FujiSuperia1600.jpg
0568;005680;FUJICOLOR SUPERIA 1600;;;;Made in Japan;2000;;;0;FujiSuperia1600.jpg
0634;006340;FUJICOLOR SUPERIA 1600;;;;Made in Japan;2000;;;0;FujiSuperia1600.jpg
0634;106340;FUJICOLOR SUPERIA 1600;;;;Made in Japan;2000;;;0;FujiSuperia1600.jpg
0632;206324;FUJICOLOR SUPERIA 1600;;;;Made in Japan;2000;;;0;FujiSuperia1600.jpg
0131;001310;FUJICOLOR SUPERIA 200;;;;Made in Japan;1999;;;1;FujiSuperia200generic.jpg
0141;001410;FUJICOLOR SUPERIA 200;;;;Made in Japan;1999;;;1;FujiSuperia200generic.jpg
0195;001950;FUJICOLOR SUPERIA 200;;;;Made in Japan;1999;;;1;FujiSuperia200generic.jpg
0625;106254;FUJICOLOR SUPERIA 200;;;;Made in Japan;90’s;;;1;FujiSuperia200generic.jpg
0624;206244;FUJICOLOR SUPERIA 200;;;;Made in Japan;1999;;;1;FujiSuperia200generic.jpg
0195;701950;FUJICOLOR SUPERIA 200;;;;Made in Japan;1999;;;1;FujiSuperia200generic.jpg
0563;005630;FUJICOLOR SUPERIA 200 New;;;;Made in Japan;1999;;;1;FujiSuperia200generic.jpg
0575;005750;FUJICOLOR SUPERIA 400;;;;Made in Japan;1999;;;1;FujiSuperia400.jpg
0578;005783;FUJICOLOR SUPERIA 400;;;;Made in Japan;1999;;;0;FujiSuperia400.jpg
0626;006260;FUJICOLOR SUPERIA 400;;;;Made in Japan;1999;;;1;FujiSuperia400.jpg
0628;006280;FUJICOLOR SUPERIA 400;;;;Made in Japan;1999;;;1;FujiSuperia400.jpg
0562;005620;FUJICOLOR SUPERIA 400 New;;;;Made in Japan;1999;;;1;FujiSuperia400.jpg
0569;005690;"FUJICOLOR SUPERIA 800 ""Zoom Master""";;;;Made in Japan;2000;;;0;FujiSuperia800.jpg
0635;006350;"FUJICOLOR SUPERIA 800 ""Zoom Master""";;;;Made in Japan;2000;;;0;FujiSuperia800.jpg
0581;005813;Fujicolor Superia 800 CZ;;;;Made in Japan;;;;0;
0583;005830;Fujicolor Superia Reala 100 ;;;;Made in Japan;;;;0;FujiSuperiaReala100.jpg
0136;101364;Fujicolor Superia Reala 100 ;;;;Made in Japan;;;;0;FujiSuperiaReala100.jpg
0632;006320;FUJICOLOR SUPERIA VENUS 1600;Japanese market only;;;Made in Japan;2003;;;1;FujiVenus1600.jpg
0200;002007;FUJICOLOR SUPERIA VENUS 400;Japanese market only. Improved X-tra 400 ?;;;Made in Japan;2003;;;1;FujiVenus400.jpg
0633;006330;FUJICOLOR SUPERIA VENUS 800;Japanese market only, same or improved Superia X-tra 800;;;Made in Japan;2003;;;0;FujiSuperiaVenus800First.jpg
0635;006354;FUJICOLOR SUPERIA VENUS 800;Japanese market only, same or improved Superia 800;;;Made in Japan;2003;;;0;SuperiaVenus800.jpg
0635;006357;FUJICOLOR SUPERIA VENUS 800;New version is SUPERIA 800 ? batch Y72304 (Exp. 2019) - Japanese market only;;;Made in Japan;2017 ?;Dec 2019;;0;SuperiaVenus800.jpg
0561;005613;Fujicolor Superia X-Tra 400 #XTRA400;;;;Made in Japan;;;;0;FujiSuperiaXtra400.jpg
0562;005623;Fujicolor Superia X-Tra 400 #XTRA400;;;;Made in Japan;;;;0;FujiSuperiaXtra400.jpg
0628;106283;Fujicolor Superia X-tra 400 #XTRA400;;;;;;;;0;FujiSuperiaXtra400.jpg
0635;106353;Fujicolor Superia X-Tra 400 #XTRA400;;;;;;;;0;FujiSuperiaXtra400.jpg
0200;202003;Fujicolor Superia X-Tra 400 #XTRA400;;;;Made in Japan;;;;0;FujiSuperiaXtra400.jpg
0626;206263;Fujicolor Superia X-tra 400 #XTRA400;;;;;;;;0;FujiSuperiaXtra400.jpg
0628;206283;Fujicolor Superia X-tra 400 #XTRA400;;;;;;;;0;FujiSuperiaXtra400.jpg
0197;601973;Fujicolor Superia X-tra 400 #XTRA400;;;;Made in Japan;;;;0;FujiSuperiaXtra400.jpg
0581;005813;Fujicolor Superia X-Tra 400 0626;;;;Made in Japan;;;;0;FujiSuperiaXtra400.jpg
0197;001970;FUJICOLOR SUPERIA X-TRA 400 CH 4th color layer #XTRA400 X-TRA400;;;;Made in Japan;;2024;;0;FujiSuperiaXtra400.jpg
0200;502003;Fujicolor Superia X-tra 400 Costco branded film #XTRA400;;;;Made in Japan;;;;0;FujiXtra400Costco.jpg
0197;601973;Fujicolor Superia X-tra 400 Wal-mart branded film #walmart XTRA400;;;;Made in Japan;;;;0;FujiXtra400Walmart.jpg
0200;602003;Fujicolor Superia X-tra 400 Wal-mart branded film #walmart XTRA400;;;;Made in Japan;;;;0;FujiXtra400Walmart.jpg
0562;605623;Fujicolor Superia X-tra 400 Wal-mart branded film #walmart XTRA400;;;;Made in Japan;;;;0;FujiXtra400Walmart.jpg
0626;606263;Fujicolor Superia X-tra 400 Wal-mart branded film #walmart XTRA400;;;;Made in Japan;;;;0;FujiXtra400Walmart.jpg
0561;005610;Fujicolor Superia X-tra 800 #XTRA800;Superia 800 for US market;;;;;~2016 ?;;0;FujiXtra800.jpg
0635;106353;Fujicolor Superia X-tra 800 #XTRA800;Superia 800 for US market. Same DX code as X-tra 400;;;;;~2016 ?;;0;FujiXtra800.jpg
0541;005414;FUJICOLOR SUPERIA X-TRA 800 CH 4th color layer #XTRA800 X-TRA800;;;;;;~2016 ?;;0;FujiSuperiaXtra800.jpg
0192;001920;Fujicolor TRUE DEFINITION 400 CH11 / TD400;Derivated from Superia X-tra 400, for US market;;;;;;;0;FujiTrueDefinition.jpg
0130;001300;Fujicolor Z200;Fujicolor 200 for LIDL discount supermaket;;3;;~2006 ?;;LIDL Stiftung & Co-KG, DE;0;FujiColorZ200.jpg
0625;106250;Fujifilm 200 China #C200;Fuji Superia C200. Also available under the brand Yes!Star Supreme 200 for China market;Guangxi Giant Star Medical Equipment Co Ltd (under Fujifilm licence);3;China;2024;;Yes!Star (China);2;Fuji200china.jpg
0625;506254;FUJIFILM 200 made in USA #fuji200;Could be tweaked Color Plus 200;Kodak…;3;Made in USA;;2022 ?;;2;Fuji200-USA.jpg
0628;106284;Fujifilm 400 China #C400;Fuji Superia C400 (X-TRA?) Also available under the brand Yes!Star Supreme 400 for China market;Guangxi Giant Star Medical Equipment Co Ltd (under Fujifilm licence);3;China;2024;;Yes!Star (China);2;Fuji400china.jpg
0561;105614;Fujifilm 800 Quicksnap;Fujicolor Superia X-TRA 800 for disposable camera;;3;;;;;0;
0561;305614;Fujifilm 800 Quicksnap;Fujicolor Superia X-TRA 800 for disposable camera;;3;;;;;0;
0000;000004;Fujifilm Neopan 400 Presto (Japan market);Neopan 400 for Japan market;;;;~1986;2014;;0;FujiNeopanPresto.jpg
0000;000000;Fujifilm Neopan 400 Professional;Neopan 100 & 400 share same code…;;;Made in Japan;~1987;2012;;0;FujiNeopan400.jpg
0000;000000;Fujifilm Neopan 400 Professional (reintroduced last batch before totaly discontinued);Neopan 100 & 400 share same code…;;;Made in Japan;~2013;2014;;0;FujiNeopan400.jpg
1764;117644;Fujifilm Neopan 400CN (Professional / C-41) ;XP2 made by Ilford under Fuji’s specs.;;4;Made in UK;~2003;2018 ?;;1;FujiNeopan400CN.jpg
0000;;Fujifilm Neopan 400UG (Uniform grain, first version);Not the T-grain new Neopan 400…;;;Made in Japan;1979;~1987;;0;Neopan400FirstJap.jpg
0000;000000;Fujifilm Neopan Acros 100 ;Neopan 100 & 400 share same code...;;;Made in Japan;~ 2005 ?;October 2018 (bulk : 2007);;0;Acros100.jpg
0000;100004;Fujifilm Neopan Acros 100 (old package);;;;Made in Japan;2000 japan, 2001 world;~ 2005 ?;;0;Acros100OLD.jpg
0000;100004;Fujifilm Neopan Acros II 100 #AcrosII100 100II;New version of Acros 100. Manufactured by Ilford under Fujifilm specifications;;;Made in UK;Nov 2019 (Japan) Spring 2020 (World);;;2;FujiAcros100II.jpg
0000;;Fujifilm Neopan SS - 100 ISO – #SS100;First version;;;Made in Japan;~1952;~80's;;0;FujiNeopanSSfirst.jpg
0000;000004;Fujifilm Neopan SS - 100 ISO – DX coded #SS100;Asia and selected markets only (Parallel import elsewhere);;;Made in Japan;~80's;2012;;0;FujiNeopanSS.jpg
0628;206283;Generic 27exp Film for color prints ISO 400;Fuji Superia X-tra 400;Fuji;3;;;;;0;Generic27exp400.jpg
0459;004597;Generic Blue White Film for color print ISO 400 24+3;Konica VX ?;;2;;;;Made in Japan;0;GenericISO400blueWhite.jpg
1394;013947;Generic film for color print 35mm ;Disposable camera, DX printed on paper… Ferrania film ?;;1;;;;;0;
1820;;Germany Film Inside – black paper ISO 200;Agfacolor Vista 200;;3;;;;;0;
1250;;HANALOGITAL Agate ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;512504;HANALOGITAL Bokeh ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Charoite ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Confetti ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Fluorite ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Fox ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Gradient ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Hohrizon ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Ladybug ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Opal ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Prism ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Spirals ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Streamers ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Stroboscope ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Sugulite ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
1250;;HANALOGITAL Veins ISO 200;Pre-exposed/soaked Kodak 200 color film (could be other cheap film depending batch…). C-41 process, residue from the filmsoup on the film may damage the chemestry in developing machines;;;;2021;;HANALOGITAL, germany;1;
0756;007560;Happy Color negative film ISO 200;Agfa Color XRG;;4;;;;Happy-Foto;0;HappyColor200.jpg
1681;016814;Harman Phoenix ISO 200 #ilford;C-41;Harman Technology;;Made in Mobberley, England;Dec 2023;;Harman Technology;2;HarmanPhoenix200.jpg
1681;016814;Harman RED ISO 125 #ilford;Inverted Harman Phoenix for redscale effect ? C-41;Harman Technology;;Made in Mobberley, England;Feb. 2025;;Harman Technology;2;HarmanRed.jpg
1683;017765;Harman Phoenix II ISO 200 #ilford phoenix 2;Film edge DX number – 105-3;Harman Technology;;Made in Mobberley, England;Jul 2025;;Harman Technology;2;HarmanPhoenixII.jpg
1688;016884;Harman Switch Azure ISO 125 #ilford;Emulsion dye swap cyan/yellow (like Lomo Turquoise);Harman Technology;;Made in Mobberley, England;Mar 2026;;Harman Technology;2;HarmanSwitchAzure.jpg
0259;002594;Hema Diafilm SR100;KONICA Chrome R100;;3;Made in Japan;;;;0;HemaDia100.jpg
0453;004530;Hema Kleurenfilm Super SR100;Konica VX100 Super;;2;Made in Japan;;;;0;HemaSuperSR100.jpg
0454;004543;Hema Kleurenfilm Super SR200;Konica VX200 Super;;4;Made in Japan;;;;0;HemaSuperSR200.jpg
0625;706254;Hema Kleurenfilm Super SR200 FarbFilm;Fuji Superia 200 / C200;;3;Made in Japan;;;;0;HemaFarbSuperSR200.jpg
0626;706264;Hema Kleurenfilm Super SR400 FarbFilm;Fuji Superia 400;;2;Made in Japan;;;;0;
0628;706284;Hema Kleurenfilm Super SR400 FarbFilm;Fuji Superia 400;;2;Made in Japan;;;;0;
1729;017294;HEMA Zwart-Wit Film 125 #Black&white B&W;it's an Ilford emulsion, but not regular FP4+ : Ilford H125 ?;;2;;;;;0;HemaBnW125.jpg
1730;017304;HEMA Zwart-Wit Film 400 #Black&white B&W;Ilford ?;;;;;;;0;HemaZwart400.jpg
0453;004530;HomeLife 100 Speed;Konica VX100 Super;;3;;;;;0;
0454;004543;HomeLife 200 Speed;Konica VX200 Super;;4;;;;;0;Homelife200.jpg
0455;004550;HomeLife 400 Speed;Konica VX400 Super;;3;;;;;0;
