DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
0739;007390;AGFA Agfacolor 400-N;;;;;;;;0;
0757;007570;AGFA Agfacolor 400-N;;;;;;;;0;
0712;007120;AGFA Agfacolor APS star 200;;;;;;;;0;
0715;007150;AGFA Agfacolor APS star 400;;;;;;;;0;
0705;007050;AGFA Agfacolor Futura 100;Only APS format ??;;;;;;;0;
0708;007080;AGFA Agfacolor Futura 200;Only APS format ??;;;;;;;0;
0713;007130;AGFA Agfacolor Futura 400;Only APS format ??;;;;;;;0;
0709;007090;AGFA Agfacolor Futura II 100;Only APS format ??;;;;;;;0;
0710;007100;AGFA Agfacolor Futura II 200;Only APS format ??;;;;;;;0;
0714;007140;AGFA Agfacolor Futura II 400;Only APS format ??;;;;;;;0;
0284;002840;AGFA AGFACOLOR HDC100;;;;;1994;1998;;0;AgfaColorHDC100.jpg
1809;018090;AGFA AGFACOLOR HDC100 Plus;Replaced by Vista line;;;;1998;2000;;0;AgfaColorHDCplus100.jpg
1810;018107;AGFA AGFACOLOR HDC100 Plus;Replaced by Vista line;;;;1998;2000;;0;AgfaColorHDCplus100.jpg
0278;002780;AGFA AGFACOLOR HDC200;;;;;1994;1998;;0;AgfaColorHDC200.jpg
1812;018120;AGFA AGFACOLOR HDC200 Plus;Replaced by Vista line;;;;1998;2000;;0;AgfaColorHDCplus200.jpg
0283;002830;AGFA AGFACOLOR HDC200 Plus-2;Replaced by Vista line;;;;1998 ?;2000;;0;
1811;018110;AGFA AGFACOLOR HDC200 Plus-2;Replaced by Vista line;;;;1998 ?;2000;;0;
0280;002800;AGFA AGFACOLOR HDC400;;;;;1994;1998;;0;AgfaColorHDC400.jpg
1817;018170;"AGFA AGFACOLOR HDC400 Plus (or ""2""?)";Replaced by Vista line;Agfa Gevaert AG;;Made in Germany;1998;;;0;AgfaColorHDCplus400.jpg
0798;007983;AGFA AGFACOLOR OPTIMA 100 ;Improved (re-rated) Optima 125;Agfa Gevaert AG;;;1995;2002;;0;AgfaOptima100.jpg
0796;007960;AGFA AGFACOLOR OPTIMA 100 Professional;;Agfa Gevaert AG;;;2002;2005;;0;AgfaOptima100.jpg
0787;007870;AGFA AGFACOLOR OPTIMA 100-3 Professional;;Agfa Gevaert AG;;;2002;2005;;0;
0738;007380;AGFA Agfacolor Optima 100-N;;Agfa Gevaert AG;;;;;;0;
0274;002740;AGFA AGFACOLOR Optima 125 Professional;;Agfa Gevaert AG;;;1991;1994;;0;
0276;002760;AGFA AGFACOLOR OPTIMA 200;;Agfa Gevaert AG;;;1992;2002 ?;;0;AgfaOptima200.jpg
0277;002770;AGFA AGFACOLOR OPTIMA 200;;Agfa Gevaert AG;;;1992;2002 ?;;0;AgfaOptima200.jpg
0799;007990;AGFA AGFACOLOR OPTIMA 200;;Agfa Gevaert AG;;;1992;2002 ?;;0;AgfaOptima200.jpg
0789;007890;AGFA AGFACOLOR OPTIMA 200 Professional;Similar to XRG200 ?;Agfa Gevaert AG;;;2002;2005;;0;AgfaOptima200.jpg
0739;007390;AGFA Agfacolor Optima 200-N;;;;;;;;0;
0794;007944;AGFA AGFACOLOR OPTIMA 400;;;;;;;;0;AgfaOptima400.jpg
0791;007910;AGFA AGFACOLOR OPTIMA 400 Professional;;;;;~1994;2002 ?;;0;AgfaOptima400first94.jpg
0792;007920;AGFA AGFACOLOR OPTIMA 400 Professional;;;;;2002;2005;;0;AgfaOptima400.jpg
